latitude: 31.888267087453553, longitude: 118.81154977957819, altitude: 12.8
latitude: 31.888267125011314, longitude: 118.8115497594403, altitude: 13.1
latitude: 31.888267031430846, longitude: 118.81154976112882, altitude: 13.4
latitude: 31.888267059604903, longitude: 118.81154972907672, altitude: 13.7
latitude: 31.888266991246375, longitude: 118.81154971724173, altitude: 14
latitude: 31.888267012215287, longitude: 118.81154968363322, altitude: 14.3
latitude: 31.888267140890786, longitude: 118.81154955614393, altitude: 14.6
latitude: 31.888267172841275, longitude: 118.81154951103439, altitude: 14.9
latitude: 31.88826712071298, longitude: 118.81154958142835, altitude: 15.2
latitude: 31.888267147334076, longitude: 118.8115495200561, altitude: 15.5
latitude: 31.888267097828276, longitude: 118.81154922949585, altitude: 15.9
latitude: 31.888267132579085, longitude: 118.81154913351145, altitude: 16.2
latitude: 31.888267112925874, longitude: 118.81154906671628, altitude: 16.5
latitude: 31.88826715292683, longitude: 118.81154899125423, altitude: 16.8
latitude: 31.888267305909544, longitude: 118.81154903607445, altitude: 17.1
latitude: 31.888267354430937, longitude: 118.81154899422486, altitude: 17.4
latitude: 31.888267285902543, longitude: 118.81154891711168, altitude: 17.7
latitude: 31.888267317034746, longitude: 118.81154888474467, altitude: 18
latitude: 31.88826722431469, longitude: 118.81154889984283, altitude: 18.3
latitude: 31.888267244497342, longitude: 118.81154887186153, altitude: 18.6
latitude: 31.888267345031977, longitude: 118.81154895682353, altitude: 18.9
latitude: 31.888267376970198, longitude: 118.81154894021495, altitude: 19.2
latitude: 31.88826732711577, longitude: 118.8115488270304, altitude: 19.5
latitude: 31.888267351638316, longitude: 118.81154880350908, altitude: 19.8
latitude: 31.88826730894412, longitude: 118.81154886818034, altitude: 20.1
latitude: 31.888267325984003, longitude: 118.81154886093705, altitude: 20.4
latitude: 31.88826728514045, longitude: 118.81154875678284, altitude: 20.7
latitude: 31.888267297023912, longitude: 118.81154874566602, altitude: 21
latitude: 31.888267418567388, longitude: 118.81154865122771, altitude: 21.3
latitude: 31.88826744245971, longitude: 118.81154864081716, altitude: 21.6
latitude: 31.888267402737316, longitude: 118.81154870282415, altitude: 21.9
latitude: 31.888267420305095, longitude: 118.81154871090915, altitude: 22.2
latitude: 31.888267387570757, longitude: 118.81154860225445, altitude: 22.5
latitude: 31.88826740061291, longitude: 118.81154860438384, altitude: 22.8
latitude: 31.88826737706278, longitude: 118.81154864816092, altitude: 23.1
latitude: 31.8882673893329, longitude: 118.81154866308454, altitude: 23.4
latitude: 31.888267526974374, longitude: 118.81154867243565, altitude: 23.7
latitude: 31.888267550327654, longitude: 118.81154868649237, altitude: 24
latitude: 31.888267507737723, longitude: 118.81154867925963, altitude: 24.3
latitude: 31.888267521433956, longitude: 118.81154869336204, altitude: 24.6
latitude: 31.888267471616487, longitude: 118.81154867286288, altitude: 24.9
latitude: 31.888267480004338, longitude: 118.81154869983759, altitude: 25.2
latitude: 31.88826730098415, longitude: 118.81154870715181, altitude: 25.5
latitude: 31.888267297428083, longitude: 118.81154874138717, altitude: 25.8
latitude: 31.888267314842892, longitude: 118.81154889546058, altitude: 26.1
latitude: 31.88826732267242, longitude: 118.81154893496968, altitude: 26.4
